Date,Open,High,Low,Close,Volume,Adj Close
2015-04-20,277.450012,280.899994,276.600006,279.109985,1390300,273.314362
2015-04-13,279.160004,280.850006,274.730011,275.76001,1272000,270.033936
2015-04-06,275.910004,279.76001,275.76001,279.230011,2144300,273.431885
2015-03-30,275.869995,278.600006,274.390015,277.190002,1427600,271.434235
2015-03-23,280.049988,280.390015,271.570007,274.290009,1299700,268.594482
2015-03-16,272.76001,280.200012,272.559998,279.670013,1859000,273.862762
2015-03-09,271.23999,273.609985,267.869995,271.589996,1538500,265.361664
2015-03-02,274.410004,276.380005,270.190002,270.720001,1290000,264.511627
2015-02-23,275.390015,276.709991,274.140015,274.200012,1521600,267.911835
2015-02-17,273.369995,276.079987,272.220001,275.970001,2088400,269.641235
2015-02-09,267.600006,273.519989,266.429993,273.50,1841500,267.227875
2015-02-02,261.899994,270.329987,258.019989,268.559998,2007500,262.401154
2015-01-26,264.459991,267.880005,260.720001,261.070007,2016100,255.082932
2015-01-20,260.589996,266.220001,257.329987,264.559998,1539800,258.492889
2015-01-12,262.269989,265.040009,255.550003,259.980011,1691800,254.017929
2015-01-05,261.899994,264.619995,255.320007,261.880005,1930200,255.874359
2014-12-29,266.529999,268.670013,261.670013,263.549988,1916700,257.506042
2014-12-22,263.420013,267.529999,263.190002,266.570007,2086700,260.456818
2014-12-15,257.130005,263.850006,251.929993,263.299988,2577300,257.26178
2014-12-08,262.76001,264.579987,255.669998,255.710007,2049500,248.828049
2014-12-01,262.149994,263.880005,259.50,263.329987,1728200,256.24295
2014-11-24,263.730011,265.940002,262.579987,262.859985,1213800,255.785614
2014-11-17,260.040009,265.309998,259.109985,263.170013,1597400,256.08728
2014-11-10,260.660004,262.540009,259.920013,260.549988,2150600,253.537781
2014-11-03,258.709991,260.839996,256.48999,260.50,2355300,253.489136
2014-10-27,249.539993,258.529999,248.240005,258.119995,2960400,251.173187
2014-10-20,239.910004,251.240005,239.770004,250.759995,1796700,244.011261
2014-10-13,237.529999,242.080002,230.809998,240.610001,4578500,234.134445
2014-10-06,249.270004,249.460007,237.259995,237.279999,2782600,230.894058
2014-09-29,249.490005,251.949997,243.059998,248.160004,2594200,241.481247
2014-09-22,257.440002,257.480011,249.369995,252.160004,2608700,245.373596
2014-09-15,259.119995,260.76001,257.209991,258.01001,2163500,251.066162
2014-09-08,262.01001,262.799988,258.459991,259.089996,1649400,251.574387
2014-09-02,262.329987,263.959991,260.190002,262.339996,2298400,254.730103
2014-08-25,260.820007,262.059998,259.179993,261.73999,859600,254.147507
2014-08-18,255.910004,260.25,255.210007,259.480011,1515000,251.953079
2014-08-11,252.100006,255.610001,250.050003,254.070007,1543200,246.700012
2014-08-04,249.50,251.089996,247.130005,250.940002,1963900,243.660797
2014-07-28,255.770004,256.51001,246.589996,248.860001,3299600,241.641144
2014-07-21,255.639999,258.220001,254.789993,255.539993,1419700,248.12735
2014-07-14,258.320007,258.600006,253.339996,256.910004,3024800,249.457626
2014-07-07,262.140015,262.230011,254.550003,256.679993,1244700,249.234283
2014-06-30,259.269989,264.00,258.540009,262.140015,2861800,254.535934
2014-06-23,259.209991,260.279999,256.100006,259.450012,1620300,251.92395
2014-06-16,255.369995,259.570007,254.509995,259.170013,3983600,251.652084
2014-06-09,256.899994,258.730011,254.089996,255.550003,1331600,247.391083
2014-06-02,251.309998,257.519989,249.479996,256.929993,1139200,248.727005
2014-05-27,250.389999,251.809998,249.289993,250.880005,1585200,242.870178
2014-05-19,245.809998,249.50,243.889999,249.389999,1143400,241.42775
2014-05-12,247.50,250.970001,242.220001,246.240005,1546300,238.378311
2014-05-05,246.149994,249.360001,243.520004,246.529999,1126400,238.659058
2014-04-28,246.070007,249.570007,241.419998,247.529999,1427700,239.627121
2014-04-21,245.740005,249.00,244.690002,245.160004,1245900,237.332794
2014-04-14,241.529999,246.369995,238.339996,245.740005,1584100,237.894287
2014-04-07,247.949997,248.490005,239.259995,239.770004,2542000,232.114883
2014-03-31,248.729996,254.479996,247.589996,248.570007,2048200,240.633926
2014-03-24,251.639999,252.470001,244.679993,246.869995,1480600,238.98819
2014-03-17,249.880005,253.369995,249.610001,250.699997,1650100,242.695923
2014-03-10,253.100006,253.100006,246.960007,248.669998,1347800,240.075607
2014-03-03,248.419998,254.110001,247.009995,253.00,2094200,244.255951
2014-02-24,247.320007,251.850006,246.929993,250.389999,1978400,241.73616
2014-02-18,245.669998,247.809998,244.460007,246.979996,2043500,238.444
2014-02-10,237.770004,245.259995,236.889999,245.199997,1845700,236.725525
2014-02-03,238.320007,238.809998,229.860001,237.979996,8992500,229.755066
2014-01-27,239.190002,240.490005,235.470001,238.779999,2610400,230.52742
2014-01-21,246.600006,247.389999,238.899994,238.899994,1926600,230.643265
2014-01-13,244.850006,246.410004,241.190002,245.139999,1736100,236.667603
2014-01-06,243.380005,245.440002,240.850006,245.440002,1476700,236.957245
2013-12-30,242.800003,244.460007,240.679993,242.460007,2024500,234.080231
2013-12-23,240.720001,243.960007,240.559998,242.979996,1490100,234.58226
2013-12-16,236.100006,239.880005,235.00,239.669998,2391700,231.386658
2013-12-09,238.770004,239.970001,233.529999,235.169998,2454300,226.364044
2013-12-02,237.520004,239.619995,234.300003,238.550003,2770400,229.617477
2013-11-25,238.759995,238.970001,237.149994,237.429993,1764900,228.539413
2013-11-18,239.520004,239.520004,234.059998,238.199997,1004300,229.280579
2013-11-11,233.860001,238.820007,233.160004,238.789993,1236900,229.84848
2013-11-04,235.529999,236.669998,230.580002,234.169998,1589300,225.401489
2013-10-28,235.619995,236.960007,232.979996,234.729996,2104000,225.940521
2013-10-21,235.029999,236.949997,233.259995,235.619995,2100800,226.797195
2013-10-14,228.080002,234.820007,227.419998,234.600006,2610500,225.815399
2013-10-07,226.25,229.539993,221.279999,229.539993,3231400,220.944855
2013-09-30,224.020004,230.259995,223.740005,228.460007,7720700,219.905304
2013-09-23,226.300003,227.669998,224.259995,226.199997,1513100,217.729919
2013-09-16,226.949997,229.889999,224.919998,226.279999,2483800,217.806931
2013-09-09,219.139999,224.800003,218.979996,224.070007,1745500,215.055222
2013-09-03,218.529999,219.820007,213.210007,218.559998,6304500,209.766891
2013-08-26,221.929993,223.00,215.270004,215.449997,2023000,206.782013
2013-08-19,219.210007,222.089996,217.869995,221.779999,1491600,212.857346
2013-08-12,223.830002,226.130005,219.259995,219.509995,2299600,210.678665
2013-08-05,227.669998,228.330002,223.460007,225.130005,1455800,216.072571
2013-07-29,222.759995,229.559998,221.830002,227.970001,3720500,218.798309
2013-07-22,224.960007,226.589996,222.220001,223.289993,1611900,214.306595
2013-07-15,222.449997,224.710007,220.990005,224.559998,1868000,215.525497
2013-07-08,216.699997,222.320007,215.929993,221.779999,2442200,212.857346
2013-07-01,211.770004,215.820007,211.589996,215.820007,2032500,207.137131
2013-06-24,204.270004,212.229996,202.449997,210.100006,1794300,201.647263
2013-06-17,215.440002,217.190002,204.770004,206.850006,2424000,198.528015
2013-06-10,216.119995,216.149994,210.220001,213.820007,1488700,204.490433
2013-06-03,215.850006,216.440002,210.270004,215.279999,2868500,205.886719
2013-05-28,219.160004,220.059998,214.429993,215.800003,2768400,206.384033
2013-05-20,220.240005,222.970001,214.479996,216.520004,2344600,207.072617
2013-05-13,216.190002,220.759995,215.470001,220.720001,1770000,211.089355
2013-05-06,212.080002,216.690002,211.820007,216.690002,1481400,207.235199
2013-04-29,208.380005,213.070007,207.160004,211.940002,1780300,202.692459
2013-04-22,204.199997,209.610001,201.809998,207.679993,1316500,198.618317
2013-04-15,207.919998,208.130005,200.289993,204.309998,3879900,195.39537
2013-04-08,204.970001,210.580002,203.759995,208.949997,2150000,199.832916
2013-04-01,209.639999,209.979996,201.429993,204.550003,3167000,195.624893
2013-03-25,207.759995,210.080002,205.809998,209.720001,2284200,200.569321
2013-03-18,205.759995,208.610001,204.669998,207.369995,2511000,198.321854
2013-03-11,205.729996,208.490005,205.320007,207.639999,3087800,198.580078
2013-03-04,199.770004,206.199997,198.850006,206.110001,3325700,196.646957
2013-02-25,201.990005,202.229996,196.360001,200.229996,4936000,191.036911
2013-02-19,203.389999,204.539993,198.100006,201.479996,2210700,192.229523
2013-02-11,201.809998,203.789993,200.919998,203.130005,1803000,193.803772
2013-02-04,199.389999,201.899994,198.029999,201.899994,2056700,192.630234
2013-01-28,199.899994,200.820007,197.830002,200.479996,2127500,191.275436
2013-01-22,195.320007,199.639999,195.210007,199.639999,2004100,190.473999
2013-01-14,192.080002,195.369995,191.610001,195.190002,1931700,186.228317
2013-01-07,191.380005,193.279999,190.369995,192.279999,1427100,183.45192
2012-12-31,182.410004,192.240005,182.080002,192.050003,2994500,183.232483
2012-12-24,185.300003,185.979996,182.00,182.729996,1991800,174.340378
2012-12-17,183.330002,188.229996,183.160004,186.490005,3103500,177.927765
2012-12-10,182.990005,185.770004,182.740005,183.00,2901900,173.840363
2012-12-03,183.630005,183.649994,180.910004,182.910004,1834800,173.754868
2012-11-26,179.889999,182.869995,177.940002,182.350006,1699000,173.2229
2012-11-19,175.490005,180.660004,175.289993,180.550003,1537100,171.512985
2012-11-12,177.270004,177.610001,171.529999,173.759995,4077800,165.062836
2012-11-05,179.919998,183.089996,175.539993,176.800003,3334400,167.950684
2012-10-31,177.669998,183.419998,176.880005,179.990005,2624400,170.981018
2012-10-22,179.610001,180.020004,176.070007,177.559998,1785500,168.672638
2012-10-15,178.279999,182.889999,177.190002,179.589996,1773900,170.601028
2012-10-08,180.529999,181.389999,177.320007,177.660004,1868300,168.767639
2012-10-01,180.910004,183.050003,177.949997,181.529999,3291200,172.443939
2012-09-24,182.259995,183.600006,177.860001,179.919998,1953500,170.91452
2012-09-17,186.559998,186.860001,182.539993,182.740005,2569700,173.593369
2012-09-10,182.839996,187.880005,182.139999,187.350006,2374500,177.573792
2012-09-04,177.169998,183.690002,175.850006,183.160004,3369400,173.602432
2012-08-27,177.649994,178.00,175.350006,177.330002,1847900,168.076645
2012-08-20,177.779999,179.240005,175.460007,176.699997,1514400,167.479523
2012-08-13,175.009995,178.190002,173.369995,178.100006,1640100,168.806473
2012-08-06,172.279999,175.600006,172.139999,175.089996,1882900,165.953537
